gen,best,avg,worst,best_genome
0,-0.8666666666666667,-0.46034891089302865,-0.0625,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 21 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 33 22 32 16 30 7 10 10 19 31 18 21 42 3 17 6 2 18 19 11 23 27 13 22 21 21 41 40 18 12 32 6 34 3 31 38 29 6 27 30 32 38 15 11 42 8 23 7 42 13 36 4 7 12 37 37 41 24 27 2 7 13 25 33 5 8 42 24 9 29 23 10 9 4 2 17 21 28 17 8 21 0 41 35 40 9 5 8 10 26 27 39 27 41 39 6 15 13 3 20 16 41 41 10 8 19 33 38 14 1 41 5 40 25 25 30 21 16 17 35 28 27 21 25 42 15 40 20 18 2 9 35 31 37 17 15 18 28 40 24 11 0 14 5 37 40 9 32 10 21 31 25 40 0 34 3 40 7 3 11 38 39 18 22 39 12 6 40 22 32 23 4 41 10 33 30 24 10 19 13 22 8 22 29 13 19 37 26 1 21 29 20 35 14 16 17 6 30 19 28"
1,-0.8666666666666667,-0.4795576825135653,-0.07692307692307693,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 21 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 33 22 32 16 30 7 10 10 19 31 18 21 42 3 17 6 2 18 19 11 23 27 13 22 21 21 41 40 18 12 32 6 34 3 31 38 29 6 27 30 32 38 15 11 42 8 23 7 42 13 36 4 7 12 37 37 41 24 27 2 7 13 25 33 5 8 42 24 9 29 23 10 9 4 2 17 21 28 17 8 21 0 41 35 40 9 5 8 10 26 27 39 27 41 39 6 15 13 3 20 16 41 41 10 8 19 33 38 14 1 41 5 40 25 25 30 21 16 17 35 28 27 21 25 42 15 40 20 18 2 9 35 31 37 17 15 18 28 40 24 11 0 14 5 37 40 9 32 10 21 31 25 40 0 34 3 40 7 3 11 38 39 18 22 39 12 6 40 22 32 23 4 41 10 33 30 24 10 19 13 22 8 22 29 13 19 37 26 1 21 29 20 35 14 16 17 6 30 19 28"
2,-0.875,-0.48254324227544104,-0.06666666666666667,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 21 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 17 6 29 22 16 22 21 33 22 32 16 30 7 10 10 19 31 18 21 42 3 17 6 2 18 19 11 23 27 13 22 21 21 41 40 18 12 32 6 34 3 31 38 29 6 27 30 32 38 40 11 42 8 23 7 42 13 36 4 7 12 37 37 41 24 27 2 7 13 25 33 5 8 42 24 9 29 23 10 9 4 2 17 21 28 17 8 21 0 41 35 40 9 5 8 10 26 27 39 27 41 39 6 15 13 3 20 23 28 6 37 14 25 6 21 26 37 6 14 33 11 28 26 29 14 27 34 20 6 35 2 20 17 20 1 21 18 12 19 27 7 23 17 26 7 40 17 26 1 25 30 37 41 16 33 24 5 15 5 40 27 4 6 11 32 22 17 6 21 14 32 29 40 1 39 37 0 21 4 34 36 4 30 32 9 10 38 29 28 3 6 15 23 26 20 42 36 9 30 17 22 41 42 38 27 9 33"
3,-0.9411764705882353,-0.473752734193911,-0.07142857142857142,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
4,-0.9411764705882353,-0.4891325932839093,-0.06666666666666667,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
5,-0.9411764705882353,-0.4924331297787182,-0.07692307692307693,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
6,-0.9411764705882353,-0.4860203915451599,-0.07692307692307693,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
7,-0.9411764705882353,-0.4956679872415171,-0.07692307692307693,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
8,-0.9411764705882353,-0.5138637218045117,-0.07142857142857142,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
9,-0.9411764705882353,-0.5263436916111067,-0.13333333333333333,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
10,-0.9411764705882353,-0.5378583671230732,-0.07142857142857142,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
11,-0.9411764705882353,-0.5400941300271799,-0.07692307692307693,"41 25 3 10 39 11 32 33 11 29 10 39 39 1 14 9 42 16 12 23 21 2 42 41 19 29 6 29 21 19 26 0 2 11 2 19 13 34 28 1 29 30 29 1 7 42 9 5 36 29 19 24 6 20 31 13 22 40 14 2 29 25 33 3 19 12 17 42 26 18 5 30 24 3 39 10 18 24 21 9 6 1 13 9 28 7 29 8 34 6 38 33 39 14 25 1 7 0 4 26 39 23 26 31 32 31 39 10 25 2 5 6 11 22 23 41 26 4 4 29 8 29 1 11 39 7 33 36 12 41 25 8 24 33 32 9 23 26 2 40 42 18 40 29 39 13 39 2 38 1 7 33 13 0 20 38 3 9 7 4 29 2 35 25 3 29 14 20 7 28 14 5 36 37 23 29 39 28 4 0 0 31 9 20 9 7 37 28 4 29 32 37 14 11 38 33 9 11 28 2 2 15 20 1 35 2 22 13 9 9 17 22 21 13 28 10 36 3 23 28 32 31 12 36 0 21 7 12 26 8 30 6 1 10 5 5 7 37 19 29 23 11 1 22 37 39 13 11 38 11 13 28 3 16 2 42 41 30 24 32 4 31 25 21 10 3 14 27 33 37 37 13 39 6 18 10 26 22 11 9 40 21 21 36 27 26 22 22 33 2 18 10 34 14 6 29 22 16 22 21 39 41 7 4 18 10 21 38 4 9 18 1 7 16 29 2 4 4 21 17 15 6 31 4 38 13 27 33 16 25 41 41 39 37 33 13 20 35 4 40 14 1 33 25 13 2 31 30 16 8 29 17 1 23 7 3 20 36 8 20 13 14 16 4 12 17 24 36 9 21 5 9 6 39 12 28 34 39 35 31 22 2 27 6 0 4 38 6 39 39 30 28 3 39 2 14 2 23 30 30 35 32 23 9 23 39 3 26 41 13 31 16 18 19 21 1 15 4 27 20 21 0 9 39 27 37 15 20 4 20 41 8 41 16 1 33 22 1 39 6 25 24 17 29 23 10 23 29 7 38 7 17 24 18 30 8 40 1 42 5 10 27 25 1 12 33 20 1 28 28 23 6 17 39 10 40 14 0 28 40 24 42 22 7 35 29 20 18 24 6 21 18 41 13 22 26 13 39 4 23"
